"","CTXS","QCOM","AAPL","IDXX","ALGN","AMGN","CPRT","FAST","CTAS","ORLY","EBAY","BKNG","NFLX","EA","GOOGL","PEP","MNST","COST","XEL","EXC"
"33",0,0.008,0.074,0.042,0.018,0.01,0,0.016,0.062,0.572,0.022,0.024,0.028,0,0,0.016,0.006,0,0.1,0.002
"34",0,0,0.002,0.034,0.012,0,0.232,0.004,0.636,0,0.006,0.02,0.012,0.01,0.002,0.002,0.018,0,0.006,0.004
"35",0.006,0,0.106,0.212,0.062,0.002,0,0,0.138,0.006,0.01,0,0.064,0,0,0.006,0.022,0.022,0,0.344
"36",0.188,0,0.012,0.08,0.008,0.046,0.068,0,0,0.052,0.008,0,0.008,0.344,0,0.016,0.156,0.014,0,0
"37",0,0.004,0,0,0,0.002,0.036,0.078,0.002,0.016,0.134,0.584,0,0.056,0,0,0,0,0.088,0
"38",0.014,0.008,0.014,0,0,0.052,0.002,0.01,0.016,0.03,0,0.308,0,0.03,0.082,0.186,0.006,0.018,0.162,0.062
"39",0.126,0.04,0,0.042,0.28,0,0,0.016,0.002,0,0.238,0,0,0,0,0,0,0.254,0.002,0
"40",0.042,0.006,0.004,0.002,0.002,0.026,0.268,0.01,0.002,0.002,0.002,0.038,0,0.062,0.036,0.008,0.08,0.14,0.024,0.246
"41",0.002,0.376,0.002,0.004,0.002,0,0.08,0.026,0.002,0.012,0.376,0.028,0.016,0.02,0.002,0.01,0.022,0.02,0,0
"42",0,0.03,0,0,0,0,0.622,0,0,0,0,0,0.002,0,0,0.204,0.028,0.114,0,0
"43",0,0.03,0.04,0,0,0.062,0,0.006,0,0,0.016,0.018,0.082,0.038,0.022,0.006,0.538,0.13,0.006,0.006
"44",0.068,0.026,0.03,0.04,0,0.054,0,0.008,0.026,0,0,0.018,0.344,0.002,0.012,0.244,0.108,0.018,0.002,0
"45",0,0,0,0.058,0.234,0,0,0,0,0.006,0,0.014,0,0,0,0,0.666,0,0,0.022
"46",0,0,0,0,0,0,0.336,0.046,0,0,0.062,0,0,0,0,0,0.054,0,0,0.502
"47",0.026,0.008,0.012,0,0,0.074,0.134,0.114,0.008,0,0,0.01,0.008,0.572,0,0.012,0.014,0.008,0,0
"48",0.226,0.02,0.006,0.002,0,0.058,0,0,0.098,0.006,0.034,0.002,0.002,0,0.006,0,0.004,0.52,0,0.016
"49",0.64,0.042,0,0.004,0.036,0,0.066,0.002,0.01,0,0.008,0,0.04,0.004,0.01,0.058,0.07,0.004,0.004,0.002
"50",0.062,0.042,0,0.026,0.018,0.016,0.228,0.04,0.004,0.076,0.012,0.104,0.038,0.012,0.054,0.064,0.028,0.016,0.138,0.022
"51",0.008,0.02,0,0,0.03,0.016,0,0,0.138,0.022,0.002,0,0.442,0.008,0.002,0.28,0,0,0.014,0.018
"52",0.056,0.032,0,0.002,0.002,0.034,0,0.016,0.014,0.012,0.096,0.014,0.01,0.046,0.292,0.016,0.002,0.014,0.34,0.002
"53",0,0,0,0.03,0.468,0,0.002,0,0,0,0.004,0,0.002,0.002,0,0,0.488,0.002,0.002,0
"54",0,0,0,0,0.296,0.01,0.158,0.002,0,0,0,0.026,0.326,0,0,0.17,0,0.012,0,0
"55",0.418,0.042,0.004,0.002,0.042,0.008,0.006,0.102,0.028,0.016,0.014,0.096,0.02,0,0.002,0.068,0.016,0.032,0.08,0.004
"56",0.018,0,0.166,0.018,0,0.054,0.01,0.02,0.024,0,0.002,0.002,0.004,0.554,0.014,0,0,0.018,0.092,0.004
"57",0,0.042,0.012,0.006,0,0.006,0.006,0.028,0.292,0.01,0,0.024,0,0.146,0.012,0.032,0.188,0.072,0.124,0
"58",0.152,0.004,0.042,0.004,0.044,0.002,0.174,0.07,0.004,0.046,0.01,0.004,0.214,0.006,0,0.1,0.02,0.006,0.056,0.042
"59",0.036,0.058,0.004,0,0.112,0,0,0.02,0.084,0,0,0.03,0.008,0.498,0.022,0.008,0,0.018,0.094,0.008
"60",0.05,0,0.004,0,0.006,0,0.002,0,0.002,0.008,0.372,0,0.334,0,0.072,0,0.02,0.014,0.116,0
"61",0.164,0.002,0.038,0.038,0,0.012,0.124,0.038,0.008,0.036,0.276,0,0.016,0.04,0.002,0,0.078,0.012,0.116,0
"62",0.002,0.328,0,0.022,0,0,0.108,0,0,0,0,0.01,0.24,0.02,0,0,0.03,0.238,0.002,0
"63",0,0,0,0.12,0,0.004,0,0.004,0.01,0.002,0,0.216,0.006,0,0.552,0,0.074,0,0,0.012
"64",0.088,0.482,0.008,0.116,0.052,0,0,0,0.068,0.086,0.022,0.008,0.002,0.006,0,0.016,0.028,0.006,0,0.012
"65",0.002,0.03,0.008,0.012,0,0.016,0.006,0.266,0.004,0.124,0.002,0.166,0.156,0.016,0.046,0.012,0.02,0,0,0.114
"66",0.008,0.24,0.006,0.014,0,0.014,0.012,0.122,0,0.012,0.056,0.008,0.064,0.014,0.298,0.02,0.012,0.048,0.052,0
"67",0.12,0,0.138,0,0.004,0.002,0.004,0,0.096,0.008,0.006,0.016,0,0.05,0.004,0.054,0.014,0,0.006,0.478
"68",0.004,0.038,0,0,0.128,0.27,0.058,0.006,0.004,0.006,0.25,0.004,0.082,0,0,0.066,0.078,0.002,0.002,0.002
"69",0,0,0.004,0,0,0,0.006,0,0,0.434,0.05,0,0,0.018,0,0.046,0.408,0,0.034,0
"70",0.01,0,0,0.182,0.056,0,0.062,0.136,0,0.004,0.032,0,0,0.1,0.074,0.15,0.016,0.026,0.152,0
"71",0.002,0.022,0.108,0.126,0.028,0.006,0.058,0,0.044,0.13,0.002,0.068,0.016,0.02,0.006,0.004,0,0.198,0.158,0.004
"72",0.008,0,0,0.136,0.06,0.002,0.016,0.014,0.004,0.006,0,0.026,0.396,0.198,0.042,0.002,0.014,0.062,0.014,0
"73",0.042,0.058,0.002,0.036,0,0.088,0,0.002,0.042,0.008,0.492,0.006,0.008,0,0.148,0.014,0.02,0,0.032,0.002
"74",0.032,0.008,0.006,0.002,0.056,0,0,0.258,0,0.484,0.002,0.018,0.002,0,0.054,0.004,0.032,0.016,0.026,0
"75",0.002,0.01,0.026,0.004,0.016,0.02,0.016,0.198,0.002,0.058,0.004,0.06,0.008,0.002,0.024,0.002,0,0.474,0.004,0.07
"76",0.028,0.002,0.224,0.006,0.062,0.006,0.028,0.008,0,0,0.284,0.018,0.008,0,0.01,0.188,0.016,0,0.106,0.006
"77",0.24,0.06,0.182,0.012,0.006,0.024,0.044,0.002,0.002,0,0.058,0.042,0.018,0.002,0.104,0.152,0.012,0.028,0.004,0.008
"78",0,0,0.436,0,0.17,0,0,0.002,0.002,0,0,0.008,0,0,0,0.022,0.36,0,0,0
"79",0,0.15,0.004,0.022,0.056,0.052,0.01,0.006,0.05,0.07,0.1,0.092,0.012,0.04,0.002,0.012,0,0.318,0.004,0
"80",0.004,0.012,0,0.006,0.024,0.038,0.004,0,0.004,0.038,0.728,0,0,0.018,0.018,0.022,0.014,0.034,0,0.036
"81",0,0,0,0.008,0.322,0,0.224,0.084,0,0.02,0,0.052,0,0,0.016,0.008,0.256,0,0.01,0
"82",0.088,0.46,0.006,0,0.012,0.04,0,0.016,0.002,0.02,0.022,0.126,0.016,0.042,0.01,0.016,0,0.068,0.01,0.046
"83",0.072,0.082,0.188,0.016,0.02,0.074,0.154,0.052,0.002,0.002,0.072,0,0.036,0.068,0,0.006,0.004,0.032,0.018,0.102
"84",0,0.11,0,0.07,0.074,0.176,0.024,0.338,0.024,0.052,0,0.02,0.008,0,0.004,0.01,0.018,0.01,0.01,0.052
"85",0,0,0.332,0.01,0.046,0,0,0.018,0,0,0.004,0.01,0,0,0,0,0.31,0.186,0.014,0.07
"86",0.004,0.058,0.034,0.008,0.006,0.184,0,0,0.192,0.17,0.028,0.216,0.012,0,0.02,0.002,0.014,0.01,0.042,0
"87",0.002,0,0,0,0.088,0.004,0.024,0.336,0,0.014,0.03,0,0.008,0,0,0.01,0.006,0.458,0.014,0.006
"88",0,0.006,0.008,0.11,0.036,0,0,0.024,0.054,0,0,0.002,0.002,0.006,0,0.03,0.012,0.576,0.132,0.002
"89",0.014,0.056,0.094,0.008,0.084,0.002,0.008,0.032,0,0.094,0.082,0.04,0.034,0.058,0.006,0.106,0.002,0.074,0.012,0.194
"90",0.008,0.064,0,0,0.008,0.01,0,0,0,0,0.002,0.02,0.152,0.044,0,0.044,0.012,0.374,0.262,0
"91",0.068,0.004,0.096,0,0.064,0.012,0,0.142,0,0.068,0.238,0,0.036,0,0.04,0.008,0.084,0.05,0.076,0.014
"92",0.002,0,0,0,0,0,0.004,0,0.07,0,0.094,0.376,0,0.006,0.104,0,0.046,0,0,0.298
"93",0.034,0.09,0.006,0.51,0,0.034,0,0.008,0,0.004,0,0,0,0,0,0,0,0,0.314,0
"94",0.29,0.018,0.004,0.002,0,0,0.03,0.004,0,0.008,0.12,0,0.048,0.092,0.072,0.294,0,0,0.004,0.014
"95",0.052,0.006,0.018,0.088,0.002,0.002,0.104,0.088,0.006,0.04,0.01,0.036,0.05,0.316,0.124,0.032,0.008,0.016,0.002,0
"96",0,0.148,0.02,0,0,0,0.108,0.094,0.016,0.08,0.076,0.004,0.086,0,0.006,0.016,0.094,0.178,0.054,0.02
"97",0.008,0,0,0,0,0,0,0,0,0.002,0.008,0.014,0.212,0,0,0,0,0.012,0.732,0.012
"98",0,0,0.016,0.014,0,0.036,0,0,0.574,0.008,0.27,0,0,0.004,0,0.002,0.014,0.054,0.008,0
"99",0.054,0.074,0,0.002,0.144,0.034,0.022,0,0.034,0,0.006,0.404,0,0.004,0.036,0.026,0.16,0,0,0
"100",0.064,0,0,0.026,0.13,0.194,0.004,0.036,0,0.002,0.012,0,0.49,0,0.002,0.036,0,0,0.004,0
"101",0.012,0.002,0.018,0.302,0.012,0.014,0,0,0.312,0.026,0.11,0.042,0.066,0,0.002,0,0.026,0.008,0.036,0.012
"102",0.228,0,0.038,0.094,0.004,0.014,0.014,0,0.014,0.084,0.036,0.236,0.016,0,0.122,0,0.01,0.028,0.05,0.012
"103",0.02,0,0.216,0.108,0.078,0,0.012,0.01,0.076,0,0.026,0.01,0.134,0.026,0.002,0.054,0.018,0.112,0,0.098
"104",0.006,0.014,0,0.004,0.45,0.078,0,0.036,0.018,0.016,0,0.008,0.022,0,0.214,0.03,0,0.104,0,0
"105",0.026,0.018,0.04,0,0.028,0.062,0.282,0,0.102,0,0.288,0.01,0.022,0.004,0.044,0.002,0,0.044,0,0.028
"106",0.028,0.286,0.086,0.01,0.004,0,0.002,0.088,0,0.032,0.362,0.014,0.002,0.018,0.016,0.006,0.002,0.012,0.012,0.02
"107",0.326,0.116,0,0.006,0,0,0.002,0.264,0.042,0.084,0,0.118,0,0.01,0.002,0,0.004,0.018,0.008,0
"108",0,0,0,0.004,0.04,0.002,0.034,0.006,0.01,0.008,0.004,0,0.086,0.114,0.012,0.024,0,0.632,0.002,0.022
"109",0.006,0.002,0,0.06,0,0.214,0.036,0,0.002,0.252,0,0.002,0.306,0.04,0.006,0.006,0.004,0.008,0.006,0.05
"110",0.028,0.138,0.056,0.008,0.174,0.002,0,0.032,0.016,0,0.062,0,0.016,0.006,0.032,0,0.04,0.376,0.002,0.012
"111",0.002,0.164,0,0.028,0,0,0.022,0,0.012,0,0.03,0.02,0.564,0.012,0,0.102,0,0.004,0.04,0
"112",0.002,0,0.002,0.004,0.018,0.036,0.016,0.01,0.432,0.186,0,0,0,0.028,0.264,0,0,0,0,0.002
"113",0.15,0.016,0.01,0.282,0.098,0.002,0,0.008,0.206,0.006,0.006,0.002,0,0.06,0.002,0.004,0.088,0.012,0.038,0.01
"114",0,0.002,0.018,0,0,0.032,0.028,0.008,0,0.326,0.114,0,0.34,0.004,0,0.026,0.012,0,0.008,0.082
"115",0.002,0.002,0,0.004,0.048,0,0.126,0.002,0.048,0,0.606,0.076,0.008,0,0,0.01,0,0.064,0,0.004
"116",0.526,0.054,0,0.01,0,0.014,0.018,0.008,0.008,0.088,0,0.006,0.002,0.064,0,0.18,0.006,0,0.004,0.012
"117",0,0,0,0,0,0.008,0.582,0.108,0,0.012,0,0,0,0.002,0,0.002,0.046,0.054,0.186,0
"118",0,0.296,0.078,0,0.006,0,0,0.022,0.392,0.036,0,0.002,0,0,0.168,0,0,0,0,0
"119",0,0.042,0,0.09,0.012,0.004,0.012,0.018,0.098,0.05,0.114,0.03,0.138,0.108,0,0.174,0.064,0.004,0,0.042
"120",0,0.008,0.008,0.02,0.012,0.01,0,0.042,0.066,0.404,0.022,0.004,0.006,0.004,0.156,0.018,0.108,0.006,0.104,0.002
"121",0.154,0.036,0,0.042,0.172,0.13,0.002,0.056,0,0,0.01,0.122,0,0.05,0.012,0.074,0.022,0.112,0,0.006
"122",0.03,0.06,0.002,0,0,0.016,0.008,0.01,0,0,0,0.036,0,0.746,0,0.092,0,0,0,0
"123",0.398,0.01,0.016,0,0.018,0,0.012,0.006,0.406,0.022,0.002,0.002,0.002,0.008,0.002,0,0,0.094,0,0.002
"124",0.004,0,0,0.044,0.002,0.08,0,0,0.002,0.002,0,0.008,0,0.004,0,0.536,0,0,0.314,0.004
"125",0.006,0.006,0.002,0,0.006,0.014,0.13,0.05,0.002,0,0.028,0,0.056,0.002,0,0.06,0.056,0.564,0,0.018
"126",0.02,0.016,0.002,0.002,0,0.012,0.444,0.004,0.006,0.032,0.046,0,0.002,0.002,0.03,0,0,0.356,0.004,0.022
"127",0,0.018,0,0.004,0.03,0,0,0.004,0.002,0,0,0,0.292,0.094,0.036,0.012,0.01,0.404,0.094,0
"128",0.02,0.008,0.002,0.006,0,0,0,0.002,0.044,0.264,0.004,0.002,0,0.168,0,0.14,0.004,0,0.002,0.334
"129",0.002,0,0,0.062,0.64,0,0.048,0.02,0,0.01,0,0,0.152,0.004,0.004,0.034,0.002,0.018,0.002,0.002
"130",0.018,0.038,0,0.002,0,0,0,0.004,0,0.006,0,0.102,0.122,0.04,0.054,0,0,0,0.552,0.062
"131",0.11,0.05,0,0,0,0.414,0,0.036,0,0,0,0,0.008,0,0,0,0.378,0,0,0.004
"132",0.006,0.048,0.148,0.124,0.002,0.072,0.146,0.016,0.21,0.024,0.038,0.006,0,0.002,0.016,0.09,0.016,0.01,0,0.026
"133",0,0,0,0.236,0,0.012,0,0.004,0.64,0,0,0.002,0,0,0.088,0,0.006,0.01,0,0.002
"134",0.022,0.038,0,0.03,0.006,0.132,0.02,0.028,0.004,0.196,0,0.01,0.194,0.03,0.202,0.058,0,0.018,0.012,0
"135",0.09,0,0,0.2,0.062,0,0.03,0,0.002,0.174,0,0,0,0.002,0,0,0,0.19,0.25,0
"136",0,0.124,0.074,0,0,0,0.108,0,0.02,0.03,0.03,0.01,0.006,0.002,0,0.002,0.59,0,0.004,0
"137",0.06,0,0.016,0.052,0,0.114,0,0.148,0.084,0.034,0.068,0.042,0.018,0.056,0.056,0.026,0.164,0,0.01,0.052
"138",0,0.008,0,0.098,0.004,0.002,0,0.078,0,0,0,0,0.678,0.006,0.114,0,0,0.01,0,0.002
"139",0.038,0.028,0.072,0.434,0.16,0,0,0,0,0,0,0,0,0.038,0.008,0.156,0.066,0,0,0
"140",0.002,0.006,0.008,0,0,0,0,0.004,0.364,0,0.02,0.006,0.162,0.026,0.002,0.002,0,0.024,0.336,0.038
"141",0.006,0.176,0.058,0.002,0.296,0.034,0.042,0.016,0,0,0.002,0.082,0.06,0.004,0.08,0.046,0.002,0.086,0,0.008
"142",0.078,0.002,0.036,0.008,0,0.004,0.054,0.04,0.082,0.05,0.174,0.012,0,0.122,0.002,0.048,0,0.092,0.124,0.072
"143",0,0,0,0.05,0,0,0.006,0,0,0.066,0.004,0.01,0.496,0.012,0,0,0.002,0.336,0.018,0
"144",0,0,0,0.034,0.002,0.002,0,0.006,0.16,0,0.026,0.002,0,0,0.024,0.214,0.418,0.092,0,0.02
"145",0.246,0,0,0,0,0.002,0.014,0.002,0,0,0,0,0.398,0.004,0.334,0,0,0,0,0
"146",0.006,0.106,0,0.288,0.068,0.014,0.084,0.006,0,0.106,0.02,0.078,0.06,0.006,0.01,0,0.142,0,0.006,0
"147",0.002,0,0.004,0.888,0,0.002,0.032,0.002,0.034,0.022,0,0,0.012,0,0,0.002,0,0,0,0
"148",0.094,0.172,0,0.008,0.082,0.036,0.144,0.002,0.056,0.03,0.04,0.04,0.028,0.012,0.092,0.014,0.012,0.072,0.052,0.014
"149",0.014,0.014,0.02,0.024,0,0.152,0.002,0,0,0,0.002,0.01,0.004,0,0.006,0.082,0.584,0,0.006,0.08
"150",0.032,0,0.018,0,0,0.02,0,0.004,0.006,0.434,0.008,0.002,0.068,0.014,0.056,0,0.14,0.034,0.156,0.008
"151",0.018,0.012,0.004,0.01,0.094,0.16,0.026,0.05,0.08,0.084,0.018,0.196,0,0.024,0.062,0.01,0.05,0.034,0.052,0.016
"152",0.004,0.424,0,0.002,0,0.148,0.008,0.026,0.002,0.102,0,0,0,0.004,0.004,0.098,0.03,0.016,0.126,0.006
"153",0.056,0.208,0.22,0.032,0.136,0,0.11,0.026,0.06,0.008,0.022,0.054,0.01,0,0.006,0.04,0,0,0.012,0
"154",0.032,0.01,0,0.348,0.1,0.006,0,0,0.02,0.002,0.024,0.036,0.034,0.006,0.06,0.026,0.022,0.194,0.006,0.074
"155",0.282,0,0.014,0.012,0,0.014,0,0.034,0.012,0.004,0.002,0.042,0.004,0,0.082,0.368,0,0.02,0.07,0.04
"156",0.006,0,0.008,0,0.008,0.014,0.172,0.12,0.006,0.062,0.244,0.038,0.008,0,0.004,0.004,0.08,0.014,0.086,0.126
"157",0.122,0.004,0.058,0.022,0,0.332,0,0.052,0,0.006,0.048,0.018,0.014,0,0.116,0.08,0.046,0.006,0.056,0.02
"158",0.008,0,0.042,0.022,0,0.006,0.104,0.004,0.02,0.63,0,0,0.004,0.092,0,0.034,0,0.002,0.006,0.026
"159",0.004,0.012,0.194,0.02,0.006,0.04,0.06,0,0.014,0,0.218,0.052,0.002,0.008,0.068,0.01,0.008,0.01,0.27,0.004
"160",0.186,0.202,0.032,0.006,0.016,0.002,0.016,0.02,0.01,0.248,0.062,0.004,0.018,0,0.008,0,0,0,0.146,0.024
"161",0.332,0.038,0.04,0.006,0.014,0.002,0.008,0.04,0.062,0.002,0.058,0.01,0.138,0.004,0.002,0.098,0.004,0.006,0.136,0
"162",0,0,0.264,0,0.004,0,0,0,0,0.014,0,0,0.028,0.648,0.042,0,0,0,0,0
"163",0.088,0.048,0.066,0.012,0.068,0.014,0.014,0.062,0.372,0.136,0,0.052,0.002,0,0,0.038,0,0.01,0,0.018
"164",0.112,0.004,0.07,0.052,0.048,0,0.03,0.014,0.036,0,0.008,0.098,0.002,0.16,0.028,0.018,0.004,0.28,0.036,0
"165",0.05,0.076,0.074,0.014,0.054,0.008,0,0.01,0.02,0.042,0.236,0.054,0.004,0.008,0,0.058,0.058,0.104,0.13,0
"166",0.028,0.02,0.568,0.002,0,0.066,0.036,0.016,0.002,0.002,0.006,0.002,0,0.072,0,0.056,0.014,0.008,0.002,0.1
"167",0.01,0,0.218,0.014,0.008,0.002,0,0,0.234,0.254,0.018,0.148,0.046,0,0.002,0.006,0,0.04,0,0
"168",0.004,0.15,0,0,0,0.01,0,0.054,0,0.032,0,0.012,0,0.006,0.034,0,0.66,0,0.004,0.034
"169",0.214,0.032,0.206,0.046,0.002,0.026,0.006,0.14,0.006,0.004,0.018,0.004,0.026,0.166,0.002,0,0.07,0,0.012,0.02
"170",0,0,0.22,0,0,0,0.01,0,0,0,0,0,0.084,0,0,0.446,0.004,0.236,0,0
"171",0.006,0.114,0.004,0.004,0.002,0.002,0.03,0.006,0.058,0.048,0.014,0.004,0.096,0,0.014,0.07,0.03,0,0.498,0
"172",0,0,0,0.276,0,0,0,0,0.002,0,0,0.01,0,0.044,0.01,0.1,0.21,0.204,0.144,0
"173",0,0,0.002,0.074,0.116,0.024,0,0,0,0.008,0,0.01,0,0.27,0,0.462,0,0,0,0.034
"174",0.018,0.018,0.02,0.002,0.03,0.006,0,0.102,0.026,0.076,0.04,0.03,0,0.024,0.008,0.056,0.144,0,0.162,0.238
"175",0.006,0.006,0.166,0.096,0,0.174,0.004,0,0.194,0.002,0.142,0.044,0.02,0,0,0.012,0.02,0.098,0.014,0.002
"176",0.03,0.012,0.592,0,0.026,0.002,0.112,0.006,0,0.054,0,0,0.018,0.02,0.004,0.008,0.012,0,0,0.104
"177",0.036,0,0.018,0.202,0,0,0,0,0,0.184,0,0.032,0,0,0.016,0.396,0,0,0.116,0
"178",0,0.02,0.004,0,0.012,0.182,0.078,0.198,0.316,0,0,0,0,0.012,0.092,0,0.048,0,0.032,0.006
"179",0,0,0.058,0.036,0,0.002,0.002,0.01,0,0.424,0,0,0.046,0.056,0.006,0.04,0.154,0.15,0,0.016
"180",0.264,0.014,0.02,0.028,0.002,0.048,0,0.014,0.45,0.002,0.046,0.01,0,0.014,0,0.002,0.066,0.008,0.012,0
"181",0,0.024,0,0.01,0.046,0.396,0.004,0.134,0.018,0.016,0.036,0.024,0.028,0,0,0,0,0.012,0.012,0.24
"182",0.008,0.15,0.22,0,0.034,0.094,0.018,0.022,0.072,0,0.012,0.152,0,0.098,0.032,0.044,0.004,0.034,0,0.006
"183",0.006,0.936,0,0,0,0,0.01,0,0,0,0,0,0.034,0,0,0.008,0.006,0,0,0
"184",0.01,0.002,0,0.092,0.33,0.082,0.004,0,0.058,0,0.202,0.016,0.01,0.014,0.124,0.002,0,0.006,0.026,0.022
"185",0,0.01,0.052,0.23,0.008,0.184,0,0.008,0,0.002,0.024,0.14,0,0.004,0.002,0.024,0.038,0.008,0.14,0.126
"186",0.012,0,0.004,0,0.01,0.004,0.014,0.066,0.082,0.004,0.004,0.086,0.244,0.11,0.05,0.002,0.264,0.016,0.006,0.022
"187",0.01,0.006,0.172,0,0.018,0,0.014,0,0.018,0.048,0.032,0.008,0.478,0,0.032,0.006,0,0.154,0.004,0
"188",0.042,0,0.056,0.018,0.004,0.064,0.154,0.002,0,0.01,0.02,0.002,0.094,0.184,0.022,0.148,0.128,0.044,0,0.008
"189",0.002,0.008,0,0.014,0.004,0.004,0.018,0.022,0.004,0,0,0.01,0.112,0.8,0,0,0,0,0,0.002
"190",0.168,0.004,0.016,0.006,0.138,0,0.01,0.04,0.014,0.004,0.014,0,0.244,0.228,0,0.004,0.02,0.05,0.002,0.038
"191",0,0,0.008,0,0.004,0.014,0.524,0,0.002,0,0,0.126,0.006,0.01,0,0.28,0.002,0,0.014,0.01
"192",0.046,0,0.21,0,0.01,0,0.002,0.108,0.012,0,0.04,0.038,0.03,0.006,0.088,0.012,0.112,0.284,0.002,0
"193",0.004,0.052,0.014,0.006,0,0.002,0.012,0.362,0.034,0.13,0.002,0.008,0.34,0.002,0.008,0,0.022,0,0.002,0
"194",0.068,0.11,0,0,0.022,0.086,0.036,0.196,0.088,0,0.012,0.002,0.012,0,0.192,0.01,0,0.076,0.018,0.072
"195",0.11,0,0,0,0,0.152,0,0.252,0.044,0,0.012,0.008,0,0,0.012,0,0.01,0,0,0.4
